,w53h6u4k,gux8ixql,rmfyq9p4,ekqjr6df,8r01d3y7,ixrz34rv
298,1162,1386,1546,1524.0,1298,620.0
299,1344,1456,1540,1646.0,1258,606.0
300,1344,1436,1168,1616.0,1280,570.0
301,1138,1446,1256,1564.0,1252,568.0
302,1250,1326,1500,1396.0,1310,572.0
303,1202,1392,1422,1558.0,1304,660.0
304,1294,1406,1682,1370.0,1334,660.0
305,1362,1434,1446,1694.0,1388,664.0
306,1056,1344,1374,1818.0,1248,610.0
307,1166,1324,1572,1348.0,1316,580.0
308,1241,1262,1178,1258.0,1348,578.0
309,1181,1284,1210,1138.0,1240,552.0
310,1170,1316,1570,1388.0,1328,620.0
311,1306,1482,1080,1378.0,1274,574.0
312,1156,1372,1212,1366.0,1346,606.0
313,1176,1400,1180,1426.0,1300,554.0
314,1128,1400,1206,1582.0,1390,484.0
315,1018,1448,1240,1478.0,1344,530.0
316,1102,1342,1186,1486.0,1408,582.0
317,1150,1420,1506,1412.0,1324,586.0
318,1206,1332,1396,1318.0,1366,562.0
319,1172,1390,1284,1404.0,1248,542.0
320,1282,1350,1320,1526.0,1292,538.0
321,1182,1366,1338,1660.0,1294,596.0
322,1156,1428,1428,1208.0,1316,606.0
323,978,1416,1082,1236.0,1372,648.0
324,1114,1394,822,1406.0,1224,618.0
325,1292,1434,1022,1310.0,1370,644.0
326,1226,1276,1142,1426.0,1390,682.0
327,1188,1376,1154,1426.0,1410,602.0
328,1566,1284,1120,1368.0,1304,588.0
329,1356,1474,1352,1336.0,1364,658.0
330,1330,1376,1370,1404.0,1212,692.0
331,1230,1434,1268,1246.0,1264,644.0
332,1140,1436,1428,1084.0,1336,606.0
333,1010,1384,1386,1470.0,1408,592.0
334,1212,1396,1188,1326.0,1388,624.0
335,1162,1414,1286,1096.0,1336,624.0
336,1048,1434,1224,1180.0,1268,626.0
337,1028,1356,1300,1304.0,1438,726.0
338,1172,1390,1288,1178.0,1288,714.0
339,1232,1420,1188,1160.0,1488,580.0
340,890,1408,1242,1414.0,1362,580.0
341,1204,1370,1438,1360.0,1320,552.0
342,1098,1414,1232,1404.0,1298,612.0
343,1084,1346,1272,1442.0,1370,626.0
344,1020,1390,1194,1484.0,1280,722.0
345,868,1318,1180,1228.0,1268,732.0
346,1182,1450,1358,1290.0,1392,732.0
347,1172,1420,1310,1242.0,1390,772.0
348,1288,1344,1478,1348.0,1374,770.0
349,1290,1402,1306,1308.0,1422,770.0
350,1302,1470,1412,1510.0,1280,720.0
351,1282,1460,1460,1468.0,1342,690.0
352,1252,1462,1298,1354.0,1252,676.0
353,1260,1478,1234,1160.0,1404,676.0
354,1202,1310,1316,1080.0,1334,636.0
355,1472,1354,1156,1514.0,1378,618.0
356,1434,1368,1174,1484.0,1356,622.0
357,1458,1310,1084,1260.0,1410,608.0
358,1218,1410,1222,1296.0,1380,640.0
359,1786,1420,1280,1566.0,1388,718.0
360,1354,1360,1422,1348.0,1258,720.0
361,1402,1422,1266,1272.0,1396,742.0
362,1538,1480,1524,1314.0,1410,684.0
363,1256,1442,1194,1428.0,1414,730.0
364,1352,1400,1220,1280.0,1222,704.0
365,1238,1286,1516,1442.0,1286,704.0
366,1204,1430,1260,1460.0,1388,750.0
367,1220,1416,1274,1492.0,1252,774.0
368,1244,1414,1406,1412.0,1318,736.0
369,1374,1456,1544,1178.0,1334,700.0
370,1200,1490,1342,1398.0,1196,674.0
371,1130,1404,1406,1248.0,1352,662.0
372,1198,1306,1298,1344.0,1366,660.0
373,1396,1408,1406,1368.0,1344,694.0
374,1268,1390,976,1330.0,1334,694.0
375,1150,1430,1024,1674.0,1364,678.0
376,1390,1384,1416,1620.0,1368,614.0
377,1296,1446,1372,1536.0,1272,590.0
378,1386,1444,1466,1320.0,1394,658.0
379,1196,1440,1374,1234.0,1358,652.0
